Site_code_LR,Occ_laufnr,Yearocc
BG374,4426,2007
BG376,4428,2007
RO738,4717,2007
RO739,4718,2007
RO740,4719,2007
DELRT002,3391,2007
DELR0477N,3911,2003
DELR0477N,3910,2002
DELR0391N,3581,2001
SK56,4830,2007
SK60,4834,2007
SK59,4833,2007
SK63,4837,2007
SK55,4829,2007
SK53,4827,2007
SK54,4828,2007
SK57,4831,2007
SK62,4836,2007
SK58,4832,2007
SK61,4835,2007
PL_BIE01,2731,1997
PL_BIEDAW_SO,2566,1997
DELR0403N,3679,2003
DELR0403N,3678,2000
DELR0403N,3677,2002
DELR0403N,3676,2001
PL_BIEDOL_SZ,2567,1998
DELR0659N,3877,2005
DELR0659N,3878,2006
DELR0653N,3875,2006
DELR0617N,3880,2005
DELR0617N,3879,2005
DELR0617N,3881,2006
DELR0658N,3876,2006
DELR0396N,3900,2000
DELR0396N,3901,2001
DELR0396N,3903,2003
DELR0396N,3902,2002
RO702,4693,2007
RO701,4692,2007
RO700,4691,2007
RO703,4694,2007
BG617,4439,2007
BG615,4437,2007
BG616,4438,2007
BG614,4436,2007
BG612,4434,2007
BG613,4435,2007
BG611,4433,2007
BG607,4429,2007
BG608,4430,2007
BG610,4432,2007
BG609,4431,2007
RO623,4640,2007
RO628,4645,2007
RO675,4674,2007
RO674,4673,2007
RO624,4641,2007
RO622,4639,2007
RO678,4677,2007
RO625,4642,2007
RO677,4676,2007
RO676,4675,2007
RO626,4643,2007
RO627,4644,2007
RO691,4682,2007
RO630,4647,2007
RO629,4646,2007
RO693,4684,2007
RO690,4681,2007
RO692,4683,2007
RO163,4631,2007
RO162,4630,2007
RO159,4627,2007
RO164,4632,2007
RO679,4678,2007
RO161,4629,2007
RO158,4626,2007
RO160,4628,2007
RO680,4679,2007
RO681,4680,2007
DELR1511N,1129,2002
PL_NAR07_SZ,2579,1999
DELRT013I,3331,2009
DELRT013I,3330,2008
DELR1506B,3317,2009
DELR0388N,3571,2002
DELR0388N,3570,2001
DELR0388N,3572,2003
DELR0725N,526,2003
DELR0724N,518,2003
DELR0724N,523,1997
DELR0724N,522,1997
DELR0724N,524,1998
DELR0724N,525,1998
DELR0728N,529,2003
DELR0716N,514,2003
DELR0713N,511,2005
DELR0714N,512,2003
DELR0721N,519,2003
DELR0723N,521,2003
AT261,4266,2007
AT26,4265,2007
AT241,4262,2007
AT240,4261,2007
AT275,4281,2007
AT25,4264,2007
AT263,4268,2007
AT262,4267,2007
AT274,4280,2007
AT242,4263,2007
AT237,4257,2007
AT266,4271,2007
AT273,4279,2007
AT269,4274,2007
AT267,4272,2007
AT239,4259,2007
AT271,4277,2007
AT265,4270,2007
AT270,4276,2007
AT238,4258,2007
AT268,4273,2007
AT272,4278,2007
AT264,4269,2007
AT276,4282,2007
AT280,4287,2007
AT282,4289,2007
AT281,4288,2007
AT277,4283,2007
AT278,4284,2007
AT279,4285,2007
DELR0440N,3590,2004
DELR0440N,3914,2004
DELR0440N,3588,2003
DELR0440N,3586,2001
DELR0440N,3587,2002
DELR0440N,3589,2003
ATDONA163,4,2000
ATDONA163,5,2000
ATDONA163,3,1999
ATDONA163,2,1999
ATDONA163,1,1999
DELR0296N,3886,2004
DELR0296N,3885,2003
DELR0296N,3884,2002
DELR0296N,3883,2001
DELR0296N,4182,1999
DELR1507N,1125,2006
NLr216,1770,2000
NLr216,1757,1999
NLr216,1756,2005
NLr216,1759,1998
NLr216,1754,2005
NLr216,1771,2005
NLr216,1769,2002
NLr216,1763,2002
NLr216,1755,2005
NLr216,1761,2004
NLr216,2381,2000
NLr216,1765,2001
NLr216,1766,2002
NLr216,1764,2003
NLr216,2393,2002
NLr216,2382,2001
NLr216,2394,2003
NLr216,2383,2006
NLr216,1762,2004
NLr216,1767,2000
NLr216,1760,1998
NLr216,2392,1997
NLr216,2388,1998
NLr216,1768,2001
NLr216,2395,1997
NLr216,2390,2004
NLr216,2400,2006
NLr216,1758,1999
NLr216,2399,2001
NLr216,2386,1999
NLr216,2384,2000
NLr216,2391,2004
NLr216,2396,2002
NLr216,2397,2003
NLr216,2389,1998
NLr216,2398,2000
NLr216,2385,2005
NLr216,2387,1999
NLr222,1784,2003
NLr222,1783,1997
NLr222,1779,2004
NLr222,1787,2000
NLr222,1792,2005
NLr222,1772,2000
NLr222,1781,2003
NLr222,1782,2004
NLr222,1791,2001
NLr222,1789,2006
NLr222,1777,1998
NLr222,1786,2003
NLr222,1776,1999
NLr222,1774,2006
NLr222,1775,1999
NLr222,1780,2004
NLr222,2413,2003
NLr222,1778,1998
NLr222,1790,2000
NLr222,1793,2006
NLr222,1773,2005
NLr222,2406,2005
NLr222,2422,2002
NLr222,2412,1997
NLr222,1785,2002
NLr222,2414,2004
NLr222,2409,1998
NLr222,1788,2001
NLr222,2419,2003
NLr222,2423,2006
NLr222,2401,2000
NLr222,2404,2000
NLr222,2421,2001
NLr222,2417,1997
NLr222,2420,2000
NLr222,2403,2006
NLr222,2416,2003
NLr222,2405,2005
NLr222,2418,2002
NLr222,2408,1999
NLr222,2407,1999
NLr222,2415,1997
NLr222,2411,2004
NLr222,2402,2001
NLr222,2410,1998
NLr190,1709,2002
NLr190,1705,1999
NLr190,1708,1997
NLr190,1710,2000
NLr190,1706,1998
NLr190,1707,2004
NLr190,2326,2005
NLr190,2335,2003
NLr190,2331,1998
NLr190,2328,2005
NLr190,2330,1998
NLr190,2337,2002
NLr190,2327,2006
NLr190,2333,2003
NLr190,2334,2004
NLr190,2332,1997
NLr190,2336,2001
NLr190,2329,1999
NLr190,2325,2000
NLr116,1486,2004
NLr116,1493,1997
NLr116,1499,2005
NLr116,1504,1998
NLr116,1488,1997
NLr116,1496,2000
NLr116,1489,2003
NLr116,1494,2001
NLr116,1495,2002
NLr116,1502,1999
NLr116,1506,1997
NLr116,1505,1998
NLr116,1491,2002
NLr116,1487,2004
NLr116,1501,2005
NLr116,1507,1998
NLr116,1492,2003
NLr116,1500,2006
NLr116,1490,1997
NLr116,1497,2001
NLr116,1498,2000
NLr116,1503,1999
NLr116,2093,2006
NLr116,2094,2005
NLr116,2089,2001
NLr116,2081,2004
NLr116,2082,1997
NLr116,2087,2002
NLr116,2085,2003
NLr116,2078,1997
NLr116,2091,2000
NLr116,2096,1999
NLr116,2084,2002
NLr116,2097,1998
NLr116,2092,2005
NLr116,2080,1997
NLr116,2079,2004
NLr116,2095,1999
NLr116,2090,2006
NLr116,2083,2003
NLr116,2086,2001
NLr116,2098,1998
NLr116,2088,2000
NLr801,1901,2000
NLr801,1910,1998
NLr801,1899,2001
NLr801,1902,2001
NLr801,1903,2000
NLr801,1909,1998
NLr801,1907,1999
NLr801,1904,2005
NLr801,1908,1999
NLr801,2536,1998
NLr801,2537,1998
NLr801,1897,1997
NLr801,2526,1997
NLr801,1911,1997
NLr801,2528,2001
NLr801,2534,2006
NLr801,1906,2005
NLr801,2524,1997
NLr801,1896,2004
NLr801,1898,2003
NLr801,1900,2002
NLr801,1905,2006
NLr801,2533,2005
NLr801,2529,2002
NLr801,2525,2004
NLr801,2532,2006
NLr801,2531,2001
NLr801,2530,2000
NLr801,2535,1999
NLr801,2527,2003
NLr117,1516,2001
NLr117,1524,1998
NLr117,1512,2003
NLr117,1510,2003
NLr117,1517,2006
NLr117,1508,2004
NLr117,1518,2005
NLr117,1513,2001
NLr117,1523,1998
NLr117,1509,2004
NLr117,1520,2005
NLr117,1519,2006
NLr117,1521,1999
NLr117,1511,1997
NLr117,1514,2002
NLr117,2099,1997
NLr117,2106,2006
NLr117,2107,1999
NLr117,2104,2001
